epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.9724,1.6535,2.73466,1.92315,0.00303,0.91026,0.09835,0.02755,2.13512,4.15706,2.55276,0.000649573,0.000649573,0.000649573
2,124.639,1.64152,2.52864,1.90838,0.24151,0.20513,0.08597,0.03081,2.55203,4.70855,3.28127,0.00129018,0.00129018,0.00129018
3,184.429,1.86422,2.56118,2.08286,0.06376,0.21795,0.04177,0.0104,2.85544,9.45694,3.88683,0.00190438,0.00190438,0.00190438
4,245.465,1.87517,2.53323,2.07976,0.17455,0.20513,0.09766,0.02398,2.44709,6.80256,3.37952,0.0018812,0.0018812,0.0018812
5,306.261,1.78493,2.41975,2.03605,0.10201,0.17949,0.04305,0.01155,2.82031,4.86705,3.5853,0.0018416,0.0018416,0.0018416
6,366.772,1.79543,2.27565,2.07766,0.14024,0.17949,0.07696,0.02317,2.7204,3.49432,3.13808,0.001802,0.001802,0.001802
7,425.766,1.78453,2.27136,2.05077,0.43973,0.32051,0.28445,0.12853,2.2851,3.14488,3.26299,0.0017624,0.0017624,0.0017624
8,487.85,1.89399,2.33268,2.09048,0.28328,0.15385,0.11548,0.03462,2.79918,3.55605,3.27573,0.0017228,0.0017228,0.0017228
9,549.263,1.75477,2.26849,2.02002,0.2238,0.38462,0.17574,0.06397,2.23595,3.04781,2.81209,0.0016832,0.0016832,0.0016832
10,610.127,1.78141,2.11126,2.01803,0.16295,0.26923,0.10616,0.03545,2.50035,3.1423,2.82751,0.0016436,0.0016436,0.0016436
11,671.179,1.7436,2.14524,1.97718,0.34761,0.25641,0.22453,0.09712,2.31522,2.97403,2.81275,0.001604,0.001604,0.001604
12,731.391,1.69992,2.09468,1.97676,0.3047,0.20513,0.19617,0.07993,2.35298,3.31455,2.90267,0.0015644,0.0015644,0.0015644
13,792.122,1.71687,2.03853,1.93195,0.19978,0.25641,0.16622,0.07582,2.25264,2.90954,2.8046,0.0015248,0.0015248,0.0015248
14,853.779,1.66776,2.07998,1.91145,0.50211,0.20513,0.22703,0.09417,2.29767,2.78003,2.60658,0.0014852,0.0014852,0.0014852
15,913.888,1.63703,1.94183,1.88738,0.5517,0.26824,0.29417,0.14104,2.27231,2.44398,2.65771,0.0014456,0.0014456,0.0014456
