epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.9379,1.94918,3.64335,2.48357,0.00308,0.92308,0.28426,0.12301,1.79508,4.02329,2.33486,0.000389744,0.000389744,0.000389744
2,86.9744,1.75627,3.11432,2.2377,0.52541,0.24134,0.29108,0.11683,1.95251,3.73003,2.52808,0.000774738,0.000774738,0.000774738
3,130.049,1.61604,2.80271,2.12861,0.46336,0.33333,0.33854,0.14637,2.0742,3.56448,2.93798,0.00114453,0.00114453,0.00114453
4,172.613,1.59976,2.55581,2.12314,0.5384,0.25641,0.25374,0.10923,2.46983,3.62402,3.44801,0.00149913,0.00149913,0.00149913
5,216.327,1.49597,2.3709,2.01443,0.42003,0.24359,0.24893,0.09439,2.29358,3.61836,3.00646,0.00183852,0.00183852,0.00183852
6,259.232,1.48894,2.16242,1.97821,0.31203,0.28205,0.23369,0.09456,2.3039,4.28457,3.06808,0.00181,0.00181,0.00181
7,301.718,1.38797,2.01993,1.8561,0.28301,0.32051,0.22447,0.08416,2.2729,3.52742,2.86425,0.001772,0.001772,0.001772
8,344.399,1.30615,1.80182,1.80676,0.37671,0.28205,0.26149,0.10595,2.30392,2.79033,2.92623,0.001734,0.001734,0.001734
9,386.525,1.18264,1.62852,1.65597,0.39389,0.33333,0.31228,0.12613,2.27637,2.70637,2.91847,0.001696,0.001696,0.001696
10,428.488,1.12012,1.41981,1.60487,0.31858,0.32051,0.22165,0.09303,2.45847,2.95809,3.21714,0.001658,0.001658,0.001658
11,470.14,1.01777,1.29712,1.50047,0.25946,0.39744,0.23747,0.11107,2.28961,2.81578,3.03357,0.00162,0.00162,0.00162
12,511.708,0.96874,1.1864,1.4563,0.4377,0.38462,0.29466,0.12961,2.32435,2.65731,2.93582,0.001582,0.001582,0.001582
13,553.5,0.90435,1.08207,1.37604,0.34471,0.34615,0.26453,0.12365,2.34839,2.92429,2.90121,0.001544,0.001544,0.001544
14,595.778,0.82612,0.95269,1.30949,0.37225,0.34615,0.2629,0.10012,2.47296,2.55698,3.03519,0.001506,0.001506,0.001506
15,639.818,0.75922,0.86801,1.23631,0.5526,0.28205,0.30792,0.12426,2.37269,2.38348,3.01849,0.001468,0.001468,0.001468
16,682.535,0.74224,0.83155,1.22209,0.37662,0.33333,0.28894,0.12275,2.48452,2.36432,3.21318,0.00143,0.00143,0.00143
